Hospital,NAME
"Boyer Hudson Sanchez, and",BARNES-KASSON COUNTY HOSPITAL
Boyle PLC,"BARNESVILLE HOSPITAL ASSOCIATION, INC"
Boyle-Kerr,BARNWELL COUNTY HOSPITAL
"Bradford Ferguson, Stein and",BARRETT HOSPITAL & HEALTHCARE
Bradford Inc,BARROW MEDICAL CENTER
Bradford PLC,BARSTOW COMMUNITY HOSPITAL
Bradford-Mitchell,BARTLETT REGIONAL HOSPITAL
Bradley Inc,BARTON COUNTY MEMORIAL HOSPITAL
Bradley Ltd,BARTON MEMORIAL HOSPITAL
Bradley-Hill,BARTOW REGIONAL MEDICAL CENTER
Bradley-Thompson,BASSETT ARMY COMMUNITY HOSPITAL
"Bradshaw Gallegos, and Hinton",BASTROP REHABILITATION HOSPITAL - MONROE
"Brady Jacobs and Wong,",BATES COUNTY MEMORIAL HOSPITAL
Brady Sons and,BATH COUNTY COMMUNITY HOSPITAL
"Brady and Payne Diaz,",BATON ROUGE - AMG SPECIALTY HOSPITAL
Brady-Pollard,BATON ROUGE BEHAVIORAL HOSPITAL
Branch Ltd,BATON ROUGE GENERAL MEDICAL CENTER (BLUEBONNET)
Branch-Gentry,BATON ROUGE GENERAL MEDICAL CENTER (MID-CITY)
Branch-Norris,BATON ROUGE REHABILITATION HOSPITAL
Brandt and Sons,BATTLE MOUNTAIN GENERAL HOSPITAL
Brennan Inc,BAUM-HARMON MEMORIAL HOSPITAL
Brennan-Rodriguez,BAXTER REGIONAL MEDICAL CENTER
"Brewer Garcia Cole, and",BAY AREA HOSPITAL
Brewer Ltd,BAY AREA MED CTR
Brewer PLC,BAY AREA REGIONAL MEDICAL CENTER
"Bridges, and Galvan Davis",BAY MEDICAL CENTER SACRED HEART
Bridges-Lynch,BAY PARK COMMUNITY HOSPITAL
Briggs PLC,BAY PINES VA HEALTHCARE SYSTEM
"Briggs and Becker, Wilkins",BAY RIDGE HOSPITAL BEVERLY
Briggs-Hernandez,BAY STATE WING MEMORIAL HOSPITAL AND MEDICAL CENTERS
Bright-Taylor,BAYCARE ALLIANT HOSPITAL
"Brooks Aguilar and Luna,",BAYFRONT HEALTH BROOKSVILLE
Brooks Group,BAYFRONT HEALTH DADE CITY
Brooks Inc,BAYFRONT HEALTH PORT CHARLOTTE
Brooks LLC,BAYFRONT HEALTH PUNTA GORDA
Brooks Ltd,BAYFRONT HEALTH SPRING HILL
Brooks PLC,BAYFRONT MEDICAL CENTER
Brooks-Herring,BAYHEALTH KENT GENERAL HOSPITAL
Brooks-Huang,BAYHEALTH MILFORD MEMORIAL HOSPITAL
Brooks-Martinez,BAYLOR EMERGENCY MEDICAL CENTER
Brooks-Nixon,BAYLOR EMERGENCY MEDICAL CENTER AT AUBREY
Brooks-Smith,BAYLOR HEART AND VASCULAR CENTER
Brooks-Taylor,BAYLOR INSTITUTE FOR REHABILITATION
Brooks-Williams,BAYLOR INSTITUTE FOR REHABILITATION AT FORT WORTH
"Brown Dean, Johnston and",BAYLOR INSTITUTE FOR REHABILITATION AT FRISCO
Brown Group,BAYLOR INSTITUTE FOR REHABILITATION AT NORTHWEST DALLAS
Brown Inc,BAYLOR MEDICAL CENTER AT TROPHY CLUB
"Brown Jackson and Olsen,",BAYLOR MEDICAL CENTER AT UPTOWN
Brown LLC,BAYLOR MEDICAL CENTER AT WAXAHACHIE
Brown Ltd,BAYLOR ORTHOPEDIC AND SPINE HOSPITAL AT ARLINGTON
Brown PLC,BAYLOR SCOTT & WHITE ALL SAINTS MEDICAL CENTER FORT WORTH
Brown Sons and,BAYLOR SCOTT & WHITE CONTINUING CARE HOSPITAL
"Brown Valdez Taylor, and",BAYLOR SCOTT & WHITE EMERGENCY HOSPITAL AT CEDAR PARK
"Brown and Bradley Blanchard,",BAYLOR SCOTT & WHITE HOSPITAL - BRENHAM
"Brown and Cruz Clark,",BAYLOR SCOTT & WHITE HOSPITAL - TAYLOR
Brown and Sons,BAYLOR SCOTT & WHITE MCLANE CHILDREN'S MEDICAL CENTER
Brown-Adams,BAYLOR SCOTT & WHITE MEDICAL CENTER - CARROLLTON
Brown-Ball,BAYLOR SCOTT & WHITE MEDICAL CENTER - CENTENNIAL
Brown-Bell,BAYLOR SCOTT & WHITE MEDICAL CENTER - COLLEGE STATION
Brown-Brown,BAYLOR SCOTT & WHITE MEDICAL CENTER - FRISCO
Brown-Cooley,BAYLOR SCOTT & WHITE MEDICAL CENTER - GARLAND
Brown-Cortez,BAYLOR SCOTT & WHITE MEDICAL CENTER - HILLCREST
Brown-Cruz,BAYLOR SCOTT & WHITE MEDICAL CENTER - IRVING
Brown-Davis,BAYLOR SCOTT & WHITE MEDICAL CENTER - LAKE POINTE
Brown-Day,BAYLOR SCOTT & WHITE MEDICAL CENTER - LAKEWAY
Brown-Evans,BAYLOR SCOTT & WHITE MEDICAL CENTER - MARBLE FALLS
Brown-Fernandez,BAYLOR SCOTT & WHITE MEDICAL CENTER - MCKINNEY
Brown-Hall,BAYLOR SCOTT & WHITE MEDICAL CENTER - PLANO
Brown-Henry,BAYLOR SCOTT & WHITE MEDICAL CENTER - SUNNYVALE
Brown-Hernandez,BAYLOR SCOTT & WHITE MEDICAL CENTER - WHITE ROCK
Brown-Holmes,BAYLOR SCOTT & WHITE MEDICAL CENTER AT GRAPEVINE
Brown-Howard,BAYLOR SCOTT & WHITE MEDICAL CENTER AT WAXAHACHIE
Brown-Ingram,BAYLOR SCOTT & WHITE SURGICAL HOSPITAL AT SHERMAN
Brown-Jackson,BAYLOR SCOTT AND WHITE HEALTHCARE - LLANO
Brown-Johnson,BAYLOR SCOTT AND WHITE HOSPITAL - ROUND ROCK
Brown-Jones,BAYLOR SPECIALTY HOSPITAL
Brown-Joyce,BAYLOR SURGICAL HOSPITAL AT FORT WORTH
Brown-Lewis,BAYLOR SURGICAL HOSPITAL AT LAS COLINAS
Brown-Lopez,BAYLOR UNIVERSITY MEDICAL CENTER
Brown-Martin,BAYPOINTE BEHAVIORAL HEALTH
Brown-Nelson,BAYSHORE MEDICAL CENTER
Brown-Price,BAYSIDE CENTER FOR BEHAVIORAL HEALTH
Brown-Roberts,BAYSIDE COMMUNITY HOSPITAL
Brown-Romero,BAYSTATE FRANKLIN MEDICAL CENTER
Brown-Smith,BAYSTATE MARY LANE HOSPITAL
Brown-Spencer,BAYSTATE MEDICAL CENTER
Brown-Thomas,BAYVIEW BEHAVIORAL HOSPITAL
Brown-Thompson,BEACHAM MEMORIAL HOSPITAL
Brown-Williams,BEACON BEHAVIORAL HOSPITAL
Browning and Sons,BEACON BEHAVIORAL HOSPITAL NORTHSHORE
Browning-Daniels,BEACON BEHAVIORAL HOSPITAL-NEW ORLEANS
Browning-Moore,BEACON CHILDREN'S HOSPITAL
Bruce Group,BEAR LAKE MEMORIAL HOSPITAL
"Bruce and Duran Diaz,",BEAR RIVER VALLEY HOSPITAL
Bruce-Strickland,BEAR VALLEY COMMUNITY HOSPITAL
Bryan LLC,BEARTOOTH BILLINGS CLINIC
Bryan PLC,BEATRICE COMMUNITY HOSPITAL
Bryant Group,"BEATRICE COMMUNITY HOSPITAL & HEALTH CENTER, INC"
Bryant Inc,BEAUFORT MEMORIAL HOSPITAL
Bryant LLC,BEAUMONT HOSPITAL DEARBORN
Bryant PLC,BEAUMONT HOSPITAL FARMINGTON HILLS
Bryant Sons and,BEAUMONT HOSPITAL GROSSE POINTE
"Bryant, Hendrix and Rangel",BEAUMONT HOSPITAL ROYAL OAK
"Bryant, and Peterson Evans",BEAUMONT HOSPITAL TAYLOR
Bryant-Ball,BEAUMONT HOSPITAL TRENTON
Bryant-Steele,BEAUMONT HOSPITAL TROY
Buchanan Group,BEAUMONT HOSPITAL WAYNE
Buchanan-Higgins,BEAUREGARD MEMORIAL HOSPITAL
"Buck Garza, and Yates",BEAVER COUNTY MEMORIAL HOSPITAL
"Buck, Cunningham Miller and",BEAVER DAM COM HSPTL
Buck-Compton,BEAVER VALLEY HOSPITAL
Buckley-Smith,BECKETT SPRINGS
Bullock Group,BECKLEY ARH HOSPITAL
"Bullock and Ward Kim,",BEDFORD COUNTY MEDICAL CENTER
Burch PLC,BEDFORD MEMORIAL HOSPITAL
Burch-Gonzalez,BEEBE MEDICAL CENTER
"Burgess Gordon, Smith and",BEHAVIORAL HEALTH HOSPITAL
Burgess Ltd,"BEHAVIORAL HEALTHCARE CENTER AT HUNTSVILLE, INC."
Burgess-Dudley,BEHAVIORAL HOSPITAL OF BELLAIRE
Burke Group,BEHAVIORAL MEDICINE AT RENAISSANCE
Burke Inc,BELAU NATIONAL HOSPITAL
Burke-James,BELL MEMORIAL HOSPITAL
Burnett Inc,BELLAIRE SURGICAL HOSPITAL HOLDINGS LLC
Burnett LLC,BELLEVUE HOSPITAL
Burnett-Hayes,BELLEVUE HOSPITAL CENTER
Burns Group,BELLEVUE MEDICAL CENTER DBA NEBRASKA MEDICINE - B
Burns Inc,BELLEVUE WOMAN'S CENTER OF ELLIS MEDICINE
Burns LLC,BELLIN HEALTH OCONTO HOSPITAL
Burns Ltd,BELLIN MEMORIAL HSPTL
Burns-Bennett,BELLIN PSYCHIATRIC CTR
Burns-Martin,BELLWOOD HEALTH CENTER
Burns-Smith,BELMONT CENTER FOR COMPREHENSIVE TREATMENT
Burton LLC,BELMONT COMMUNITY HOSPITAL
"Burton Wang, Garrison and",BELMONT PINES HOSPITAL
Burton-Fuentes,BELOIT HEALTH SYSTEM
Burton-Garcia,BELTON REGIONAL MEDICAL CENTER
Burton-Hall,BENCHMARK REGIONAL HOSPITAL
Burton-Williams,BENEFIS HEALTH CARE (EAST CAMPUS)
Bush LLC,BENEFIS HEALTH CARE (WEST CAMPUS)
Bush-Martin,BENEFIS TETON MEDICAL CENTER
Bush-Roberson,BENEWAH COMMUNITY HOSPITAL
Butler Group,BENNETT COUNTY HEALTH CENTER
Butler LLC,BENSON HOSPITAL
"Butler Williams, and Aguirre",BERGEN REGIONAL MEDICAL CENTER
Butler and Sons,BERGER HOSPITAL
Butler-Dunn,BERKELEY MEDICAL CENTER
Butler-Kim,BERKSHIRE MEDICAL CENTER - BERKSHIRE CAMPUS
Butler-Robbins,BERKSHIRE MEDICAL CENTER - HILLCREST CAMPUS
Butler-Rogers,BERLIN MEMORIAL HOSPITAL
Byrd Ltd,BERTRAND CHAFFEE HOSPITAL
"Byrd Moore, and Norton",BERWICK HOSPITAL CENTER
"Byrd, Clark and Wheeler",BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM
"Byrd, White Garcia and",BETH ISRAEL DEACONESS HOSPITAL MILTON
Byrd-Fernandez,BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH
Byrd-Porter,BETH ISRAEL DEACONESS MEDICAL CENTER - EAST CAMPUS
Byrd-Scott,BETH ISRAEL DEACONESS MEDICAL CENTER - WEST CAMPUS
"Cabrera Martinez, and Henderson",BETHESDA ARROW SPRINGS-ER
"Cabrera, and Anderson Clark",BETHESDA BUTLER HOSPITAL
Cabrera-Mcclure,BETHESDA HOSPITAL WEST
Cain LLC,BETHESDA MEMORIAL HOSPITAL
"Calderon Horn Doyle, and",BETHESDA NORTH
Calderon and Sons,BETHESDA REHABILITATION HOSPITAL
Caldwell Group,BETSY JOHNSON HOSPITAL
Caldwell Ltd,BEVERLY HOSPITAL
Calhoun LLC,BHC ALHAMBRA HOSPITAL
Calhoun-Burns,BHC FAIRFAX HOSPITAL
Calhoun-Woods,BHC FAIRFAX HOSPITAL NORTH
Callahan Inc,BHC MESILLA VALLEY HOSPITAL
Callahan LLC,BHC VALLE VISTA HOSPITAL
Callahan PLC,BHC WEST HILLS HOSPITAL
Callahan-Johnson,BIBB MEDICAL CENTER
Callahan-Jones,BIENVILLE MEDICAL CENTER
Camacho LLC,BIG BEND REGIONAL MEDICAL CENTER
Camacho PLC,BIG HORN COUNTY MEMORIAL HOSPITAL
Cameron-Lawson,BIG SANDY MEDICAL CENTER
"Campbell Giles Grant, and",BIG SOUTH FORK MEDICAL CENTER
Campbell Group,BIG SPRING STATE HOSPITAL
Campbell Inc,BIGFORK VALLEY HOSPITAL
Campbell LLC,BILLINGS CLINIC
Campbell Ltd,BINGHAM MEMORIAL HOSPITAL
Campbell PLC,BLACK HILLS SURGERY CENTER LIMITED LIABILITY PARTNERSHIP
Campbell Sons and,BLACK RIVER COMMUNITY MEDICAL CENTER
"Campbell, Chavez and Parsons",BLACK RIVER MEM HSPTL
"Campbell, and Howard Aguirre",BLACKBERRY CENTER
Campbell-Anderson,BLACKFEET COMMUNITY HOSPITAL
Campbell-Church,BLACKWELL REGIONAL HOSPITAL
Campbell-Flores,BLAKE MEDICAL CENTER
Campbell-Hall,BLANCHARD VALLEY HOSPITAL
Campbell-Hodges,BLECKLEY MEMORIAL HOSPITAL
Campbell-Morales,BLESSING HOSPITAL
Campbell-Perkins,BLESSING HOSPITAL AT 14TH STREET
Campbell-Smith,BLOOMINGTON MEADOWS HOSPITAL
Campbell-Wood,BLOUNT MEMORIAL HOSPITAL
Campos Inc,BLOWING ROCK HOSPITAL
Campos LLC,BLUE HILL MEMORIAL HOSPITAL
Campos PLC,BLUE MOUNTAIN HOSPITAL
Campos-Barry,BLUE MOUNTAIN HOSPITAL GNADEN HUETTEN
Campos-Clark,BLUE MOUNTAIN RECOVERY CENTER
Campos-King,"BLUE RIDGE REGIONAL HOSPITAL, INC"
Cannon PLC,BLUE VALLEY HOSPITAL INC
Cantrell LLC,BLUEFIELD REGIONAL MEDICAL CENTER
Cardenas-Key,BLUEGRASS COMMUNITY HOSPITAL
Cardenas-Morrison,BLUERIDGE VISTA HEALTH AND WELLNESS
Carey-Young,BLUFFTON HOSPITAL
"Carlson Campbell, and Atkins",BLUFFTON REGIONAL MEDICAL CENTER
Carlson Group,BLYTHEDALE CHILDREN'S HOSPITAL
"Carlson Gutierrez Miller, and",BOB WILSON MEMORIAL GRANT COUNTY HOSPITAL
"Carlson Harris Jones, and",BOCA RATON REGIONAL HOSPITAL
Carlson PLC,BOGALUSA - AMG SPECIALTY HOSPITAL
"Carlson and Collins, Knapp",BOLIVAR GENERAL HOSPITAL
"Carney Gutierrez Smith, and",BOLIVAR MEDICAL CENTER
Carpenter Group,BON SECOURS COMMUNITY HOSPITAL
Carpenter Ltd,BON SECOURS DEPAUL MEDICAL CENTER
"Carpenter Marshall, and Washington",BON SECOURS HEALTH CENTER AT HARBOUR VIEW
Carpenter PLC,BON SECOURS HOSPITAL
Carpenter and Sons,BON SECOURS MARY IMMACULATE HOSPITAL
Carpenter-Anderson,BON SECOURS MARYVIEW MEDICAL CENTER
Carpenter-Bailey,BON SECOURS MEMORIAL REGIONAL MEDICAL CENTER
Carpenter-Harmon,BON SECOURS RAPPAHANNOCK GENERAL HOSPITAL
Carr Group,BON SECOURS RICHMOND COMMUNITY HOSPITAL
Carr Ltd,BON SECOURS ST FRANCIS WATKINS CENTRE
"Carr Miller Torres, and",BON SECOURS ST. FRANCIS MEDICAL CENTER
"Carr and Rocha, Freeman",BON SECOURS ST. MARYS HOSPITAL
Carr-Johnston,BON SECOURS-ST FRANCIS XAVIER HOSPITAL
Carr-Whitehead,BONNER GENERAL HOSPITAL
Carrillo Ltd,BOONE COUNTY HEALTH CENTER
Carrillo-Berry,BOONE COUNTY HOSPITAL
Carrillo-Christensen,BOONE HOSPITAL CENTER
Carrillo-Gonzalez,BOONE MEMORIAL HOSPITAL
Carroll Group,BORGESS MEDICAL CENTER
Carroll Inc,BORGESS PIPP HOSPITAL
Carroll LLC,BORGESS-LEE MEMORIAL HOSPITAL
"Carroll and Jackson, Graves",BOSTON CHILDREN'S
"Carroll, and Fields Smith",BOSTON MEDICAL CENTER - EAST NEWTON CAMPUS
Carroll-Castillo,BOSTON MEDICAL CENTER - MENINO CAMPUS
Carroll-Herrera,BOTHWELL REGIONAL HEALTH CENTER
Carroll-Howard,BOULDER CITY HOSPITAL
Carroll-Miller,BOULDER COMMUNITY FOOTHILLS HOSPITAL
Carson Group,BOULDER COMMUNITY HOSPITAL
Carson LLC,BOUNDARY COMMUNITY HOSPITAL
Carson PLC,BOURBON COMMUNITY HOSPITAL
Carson-Lopez,BOURNEWOOD HOSPITAL
Carter Group,BOWDLE HEALTHCARE
Carter Inc,BOWDON AREA HOSPITAL AND REHAB CENTER
Carter LLC,BOX BUTTE GENERAL HOSPITAL
Carter Ltd,BOYS TOWN NATIONAL RESEARCH HOSPITAL
"Carter Morrison Mcdonald, and",BOYS TOWN NATIONAL RESEARCH HOSPITAL - WEST
Carter PLC,BOZEMAN DEACONESS HOSPITAL
"Carter Stephens Johnson, and",BOZEMAN HEALTH BIG SKY MEDICAL CENTER
"Carter and Mullins, Neal",BRADFORD REGIONAL MEDICAL CENTER
Carter-Garcia,BRADLEY CENTER OF SAINT FRANCIS
Carter-Harris,BRADLEY COUNTY MEDICAL CENTER
Carter-Hill,BRANDEL MANOR - D/P SNF OF EMANUEL MEDICAL CTR
Carter-Pham,BRANDON REGIONAL HOSPITAL
Carter-Williams,BRANDYWINE HOSPITAL
Case Ltd,BRATTLEBORO MEMORIAL HOSPITAL
Case-Wells,BRATTLEBORO RETREAT
Casey Group,BRAXTON COUNTY MEMORIAL HOSPITAL
Casey LLC,BRECKINRIDGE MEMORIAL HOSPITAL
Casey PLC,BREMERTON NAVAL HOSPITAL
"Casey and Reed Conrad,",BRENTWOOD BEHAVIORAL HEALTHCARE
Casey-Lee,BRENTWOOD HOSPITAL
"Castaneda Terrell, and Rodriguez",BRENTWOOD MEADOWS LLC
"Castaneda, Henson and Holmes",BRIDGEPOINT HOSPITAL CAPITOL HILL
Castaneda-Williams,BRIDGEPOINT NATIONAL HARBOR
"Castillo Green, Johnson and",BRIDGEPORT HOSPITAL
"Castillo Lee and Hinton,",BRIDGTON HOSPITAL
Castillo Ltd,BRIGHAM AND WOMEN'S HOSPITAL
Castillo PLC,BRIGHAM CITY COMMUNITY HOSPITAL
"Castillo, Matthews Hall and",BRIGHTON HOSPITAL
"Castillo, and Mayer Garner",BRISTOL HOSPITAL
Castillo-Beck,BRISTOL MYERS SQUIBB CHILDRENS HOSPITAL
Castillo-Lewis,BRISTOW MEDICAL CENTER
Castillo-Price,BROADDUS HOSPITAL
Castro Group,BROADLAWNS MEDICAL CENTER
"Castro Neal, and Mcclure",BROADWATER HEALTH CENTER
"Castro Pierce and Tran,",BRODSTONE MEMORIAL HOSP
"Castro Smith Haynes, and",BROMENN HEALTHCARE
Castro-Moore,BRONSON BATTLE CREEK HOSPITAL
Castro-Singh,BRONSON LAKEVIEW HOSPITAL
Cervantes-Edwards,BRONSON METHODIST HOSPITAL
Chan Ltd,BRONSON SOUTH HAVEN HOSPITAL
Chan PLC,BRONX PSYCHIATRIC CENTER
"Chan Sanchez and Hodge,",BRONX-LEBANON HOSPITAL CENTER - CONCOURSE DIVISION
"Chan and Daniels Brown,",BRONX-LEBANON HOSPITAL CENTER - FULTON DIVISION
Chan and Sons,BROOK LANE HEALTH SERVICES
Chandler Ltd,BROOKDALE HOSPITAL MEDICAL CENTER
Chandler PLC,BROOKE ARMY MEDICAL CENTER
"Chandler, and Berry Meyer",BROOKE GLEN BEHAVIORAL HOSPITAL
"Chaney Smith and Gibson,",BROOKHAVEN HOSPITAL
"Chaney, Cook Tyler and",BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER
Chang Group,BROOKINGS HEALTH SYSTEM
Chang-Hess,BROOKLYN HOSPITAL CENTER
Chang-Smith,BROOKS COUNTY HOSPITAL
Chapman Group,BROOKS MEMORIAL HOSPITAL
Chapman Inc,BROOKS REHABILITATION HOSPITAL
Chapman LLC,BROOKWOOD MEDICAL CENTER
Chapman Ltd,BROWARD HEALTH CORAL SPRINGS
Chapman PLC,BROWARD HEALTH IMPERIAL POINT
"Chapman, Cooper Richard and",BROWARD HEALTH MEDICAL CENTER
Chapman-Haas,BROWARD HEALTH NORTH
Chapman-Smith,BROWN COUNTY HOSPITAL
Charles LLC,BROWN CTY COMMUNITY TREATMENT CENTER
"Charles Ross, Garcia and",BROWN MEMORIAL CONVALESCENT CENTER
"Charles, Robbins Rios and",BROWNFIELD REGIONAL MEDICAL CENTER
Charles-White,BROWNSVILLE DOCTORS HOSPITAL
Chase-Ho,BROWNWOOD REGIONAL MEDICAL CENTER
Chase-Jackson,BRUNSWICK COMMUNITY HOSPITAL
Chase-Wilcox,"BRUNSWICK HOSPITAL CENTER, INC"
Chavez Group,BRYAN MEDICAL CENTER
Chavez Inc,BRYAN W. WHITFIELD MEMORIAL HOSPITAL
Chavez Ltd,BRYCE HOSPITAL
Chavez PLC,BRYLIN HOSPITAL
Chavez Sons and,BRYNN MARR HOSPITAL
Chavez-Graves,BUCHANAN COUNTY HEALTH CENTER
Chavez-Rodriguez,BUCHANAN GENERAL HOSPITAL
Chen Inc,BUCKHEAD AMBULATORY SURGICAL CENTER
"Chen Moore, Allison and",BUCKTAIL MEDICAL CENTER
Chen PLC,BUCYRUS COMMUNITY HOSPITAL
"Chen, and Avery Green",BUENA VISTA REGIONAL MEDICAL CENTER
Chen-Castillo,BUFFALO GENERAL MEDICAL CENTER
Chen-Fox,BUFFALO HOSPITAL
Chen-Gates,BUFFALO PSYCHIATRIC CENTER
Chen-Munoz,BULLOCK COUNTY HOSPITAL
Choi-Brown,BUNKIE GENERAL HOSPITAL
Christensen LLC,BURGESS MEMORIAL HOSPITAL
Christensen PLC,BURKE MEDICAL CENTER
"Christensen Perez, and Miller",BURKE REHABILITATION CENTER
"Christensen and Duffy Leblanc,",BURLINGAME HEALTH CARE CENTER D/P SNF
"Christensen and Parker Jones,",BURNETT MED CTR
Christensen-Hinton,BUTLER COUNTY HEALTH CARE CENTER
Christensen-Merritt,BUTLER HOSPITAL
Christensen-Terrell,BUTLER MEMORIAL HOSPITAL
Christian Group,BUTTE COUNTY PHF
Christian Inc,BYRD REGIONAL HOSPITAL
Christian-Davis,CABELL-HUNTINGTON HOSPITAL
Chung PLC,CABINET PEAKS MEDICAL CENTER
Chung-Floyd,CACHE VALLEY SPECIALTY HOSPITAL
Chung-Williams,CALAIS REGIONAL HOSPITAL
"Cisneros and Davis, Fields",CALCASIEU OAKS PSYCHIATRIC HOSPITAL
Cisneros-Craig,CALDWELL MEDICAL CENTER
Clark Group,CALDWELL MEMORIAL HOSPITAL
Clark Inc,CALHOUN MEMORIAL HOSPITAL
Clark LLC,CALHOUN-LIBERTY HOSPITAL
Clark Ltd,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES
Clark PLC,CALIFORNIA PACIFIC MED CTR-CALIFORNIA EAST
Clark Sons and,CALIFORNIA PACIFIC MED CTR-CALIFORNIA WEST
"Clark Vega, Hernandez and",CALIFORNIA PACIFIC MED CTR-DAVIES CAMPUS
"Clark and Green, Dyer",CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS
"Clark and Lewis Gross,",CALIFORNIA PACIFIC MEDICAL CENTER - ST. LUKE'S CAMPUS
"Clark, Vance Long and","CALIFORNIA REHABILITATION INSTITUTE, LLC"
"Clark, and Estes Thomas",CALLAHAN EYE HOSPITAL
Clark-Adams,CALLAWAY DISTRICT HOSPITAL
Clark-Brown,CALUMET MEDICAL CTR
Clark-Castillo,CALVARY HOSPITAL
Clark-Delgado,CALVERT HEALTH MEDICAL CENTER
Clark-Gomez,CAMBRIDGE BEHAVORIAL HOSPITAL
Clark-Henry,CAMBRIDGE HEALTH ALLIANCE - CAMBRIDGE CAMPUS
Clark-Hill,CAMBRIDGE HEALTH ALLIANCE - SOMERVILLE CAMPUS
Clark-Jones,CAMBRIDGE HEALTH ALLIANCE - WHIDDEN MEMORIAL CAMPUS
Clark-King,CAMBRIDGE MEDICAL CENTER
Clark-Lee,CAMC GENERAL HOSPITAL
Clark-Perry,CAMC MEMORIAL HOSPITAL
Clark-Stewart,CAMC TEAYS VALLEY HOSPITAL
Clark-Williams,CAMC WOMEN AND CHILDREN'S HOSPITAL
Clarke Inc,CAMDEN CLARK MEDICAL CENTER
"Clarke and Roth, Donovan",CAMDEN COUNTY HEALTH SERVICES CENTER
Clay LLC,CAMDEN GENERAL HOSPITAL
Clay-Smith,CAMERON MEMORIAL COMMUNITY HOSPITAL INC
Cline Ltd,CAMERON REGIONAL MEDICAL CENTER
Cline-Johnson,CAMPBELL COUNTY MEMORIAL HOSPITAL
Cobb Inc,CAMPBELLTON-GRACEVILLE HOSPITAL
Cobb Ltd,CANCER INSTITUTE OF NEW JERSEY
"Cobb Rubio, Williamson and",CANDLER COUNTY HOSPITAL
"Cobb, and Clark Robinson",CANDLER HOSPITAL
Cobb-Allen,CANNON MEMORIAL HOSPITAL
Cochran Inc,CANONSBURG GENERAL HOSPITAL
"Cochran and Castillo Marshall,",CANTON-POTSDAM HOSPITAL
Cochran-Harper,CANYON RIDGE HOSPITAL
Cochran-Sutton,CANYON VISTA MEDICAL CENTER
Cohen LLC,CAPE CANAVERAL HOSPITAL
Cole Group,CAPE COD & ISLANDS COMMUNITY MENTAL HEALTH CENTER
Cole Inc,CAPE COD HOSPITAL
Cole LLC,CAPE CORAL HOSPITAL
Cole Ltd,CAPE FEAR VALLEY - BLADEN COUNTY HOSPITAL
Cole PLC,CAPE FEAR VALLEY HOKE HOSPITAL
"Cole and Black Lopez,",CAPE FEAR VALLEY MEDICAL CENTER
"Cole, Mccullough Livingston and",CAPE REGIONAL MEDICAL CENTER
Cole-Chandler,CAPITAL DISTRICT PSYCHIATRIC CENTER
Cole-Lee,CAPITAL HEALTH MEDICAL CENTER - HOPEWELL
Cole-Montgomery,CAPITAL HEALTH SYSTEM - FULD
Cole-Vargas,CAPITAL MEDICAL CENTER
Cole-West,CAPITAL REGION MEDICAL CENTER
Coleman Group,CAPITAL REGIONAL MEDICAL CENTER
Coleman Inc,CAPITAL REGIONAL MEDICAL CENTER - GADSDEN MEMORIAL CAMPUS
Coleman LLC,CAPTAIN JAMES A. LOVELL FEDERAL HEALTH CARE CENTER
Coleman Ltd,CARDINAL HILL REHABILITATION HOSPITAL
Coleman PLC,CARE ONE
Coleman-Stewart,CARE ONE AT HUMC PASCACK VALLEY
Collier-Jordan,CARE ONE AT TRINITAS
Collins Inc,CARE REGIONAL MEDICAL CENTER
Collins LLC,CAREPARTNERS REHABILITATION HOSPITAL
Collins Ltd,CAREPOINT HEALTH - BAYONNE MEDICAL CENTER
Collins PLC,CAREPOINT HEALTH-CHRIST HOSPITAL
Collins Sons and,CAREPOINT HEALTH-HOBOKEN UNIVERSITY MEDICAL CENTER
Collins-Hawkins,CARIBBEAN MEDICAL CENTER
Collins-Jones,CARIBOU MEMORIAL HOSPITAL AND LIVING CENTER
Collins-Mcdonald,CARILION FRANKLIN MEMORIAL HOSPITAL
Collins-Moreno,CARILION GILES COMMUNITY HOSPITAL
Collins-Smith,CARILION GILES MEMORIAL HOSPITAL
Collins-White,CARILION MEDICAL CENTER
Colon-Kent,CARILION NEW RIVER VALLEY MEDICAL CENTER
Combs Group,CARILION ROANOKE COMMUNITY HOSPITAL
Combs Sons and,CARILION STONEWALL JACKSON HOSPITAL
Compton LLC,CARILION TAZEWELL COMMUNITY HOSPITAL
Compton-Ayala,CARITAS CARNEY HOSPITAL
Conley Ltd,CARL ALBERT COMMUNITY MENTAL HEALTH CENTER
Conley and Sons,CARL R. DARNALL ARMY MEDICAL CENTER
Conley-Mayo,CARL VINSON VA MEDICAL CENTER
Conley-Wood,CARLINVILLE AREA HOSPITAL
Conner Inc,CARLISLE REGIONAL MEDICAL CENTER
Conner PLC,CARLSBAD MEDICAL CENTER
Conner-Perkins,CARNEGIE TRI-COUNTY MUNICIPAL HOSPITAL
Conrad-Lee,CARO COMMUNITY HOSPITAL
Contreras Inc,CAROLINA CENTER FOR BEHAVIORAL HEALTH
